,text,root,event,label
0,i need a place to dine in the center that s expensive,,,0
1,"I have several options for you ; do you prefer African , Asian , or British food ?",,,0
2,"Any sort of food would be fine , as long as it is a bit expensive . Could I get the phone number for your recommendation ?",,,0
3,There is an Afrian place named Bedouin in the centre . How does that sound ?,,,0
4,"Sounds good , could I get that phone number ? Also , could you recommend me an expensive hotel ?",,,0
5,"Bedouin 's phone is 01223367660 . As far as hotels go , I recommend the University Arms Hotel in the center of town .",is,is 01223367660 phone,1
6,Yes . Can you book it for me ?,,,0
7,"Sure , when would you like that reservation ?",,,0
8,i want to book it for 2 people and 2 nights starting from saturday .,want,i saturday book 2 from 2 for starting want people it nights,1
9,Your booking was successful . Your reference number is FRGZWQL2 . May I help you further ?,,,0
10,"That is all I need to know . Thanks , good bye .",,,0
11,Thank you so much for Cambridge TownInfo centre . Have a great day !,,,0
12,"Guten Tag , I am staying overnight in Cambridge and need a place to sleep . I need free parking and internet .",staying,staying overnight I,1
13,I have 4 different options for you . I have two cheaper guesthouses and two expensive hotels . Do you have a preference ?,,,0
14,"No , but I 'd really like to be on the south end of the city . Do any of those fit the bill ?",,,0
15,Sure . Does price matter ? We can narrow it down and find exactly what you need .,,,0
16,No I do n't care about the price . Which one do you recommend ?,,,0
17,I would recommend aylesbray lodge guest house . Would you like me to book that for you ?,,,0
18,"Yes , book it for 4 people and 4 nights starting from tuesday .",book,4 for starting people it nights tuesday book 4 from,1
19,The booking was unsuccessful . would you like another day or a shorter stay ?,like,like another you day,1
20,How about for 3 nights ?,about,about nights 3 for,1
21,Booked ! Reference number is : 84ESP6F5,,,0
22,Great . I am all set then . Have a nice day . Bye .,Have,nice day Have a,1
23,Have a nice stay . Bye .,,,0
24,Hi there ! Can you give me some info on Cityroomz ?,,,0
25,"Cityroomz is located at Sleeperz Hotel , Station Road in the Centre area . It is a moderatley priced hotel with a 0 star rating . Would you like to book a room ?",,,0
26,Yes please . I need it for 7 people for 3 nights starting on tuesday .,need,tuesday need 7 on 3 for I for starting people it nights,1
27,How many days would you like to book it for ?,,,0
28,I would like to book it for 3 nights beginning on Tuesday .,like,I for beginning book 3 on like it Tuesday nights,1
29,"Ok , Your rooms have been booked . Your reference number is CYJDAR7R . Is there anything else I can help you with today ?",Is,Is help today anything with I you,1
30,"Yeah , I need a restaurant in the west and with expensive pricing .",,,0
31,There are 9 expensive restaurants in the west area . Do you prefer a certain type of food ?,,,0
32,"No , I do n't have a preference , but I need the phone number and postcode .",,,0
33,"I recommend Graffiti , the number is 01223277977 and the postcode is cb30lx . Would you like me to book a table for you ?",is,number is 01223277977,1
34,"No , right now , I just need the infor . Thanks !",,,0
35,Can I help you with anything else today ?,help,help you I today,1
36,That is all . thanks,,,0
37,Thank you for using our system .,,,0
38,I am looking for a hotel named alyesbray lodge guest house .,,,0
39,"i have their info , what would you like to know ?",,,0
40,I would like to book a reservation for it . Can you help me with that ?,,,0
41,"I sure can . First , I will need to know when you want your stay to begin and how many days you 'll be staying . Also , how many people will be staying ?",,,0
42,We will be arriving on Sunday and will stay for 5 nights .,arriving,5 We arriving for stay Sunday nights on,1
43,Can you tell me how many guests will be staying in the room ?,,,0
44,There will be 8 guests .,,,0
45,Booking was successful . Your reference number is 4UFN3SWC . Will that be all for today ?,be,for today that be,1
46,that is it thank you .,,,0
47,You have a nice day then !,have,have nice day a You,1
48,Can you actually look up a restaurant for me as well ?,,,0
49,sure thing what 's the area and or name ?,,,0
50,It 's a place called Don Pasquale Pizzeria .,,,0
51,A very nice place in the centre . Need a reservation ?,,,0
52,"Yes , I do . I 'll need it booked for the same day , same people , and we 'd like to eat at 19:00 .",need,booked same it like I the at eat need day for we 19:00,1
53,Booking was successful . The table will be reserved for 15 minutes . Reference number is : GVM0PAM2 .,reserved,minutes reserved 15 for,1
54,Great . One more thing . Can you book a taxi between the two places ? I 'd like to arrive at the restaurant in time for my reservation .,,,0
55,Contact number 07404031593 . You are in a Red Skoda .,,,0
56,Thank you so much that was all I needed .,,,0
57,"Alright , hope you enjoy the rest of your day .",,,0
58,i need a train on tuesday out of kings lynn,need,train i tuesday need on,1
59,What time of day would you like to leave ?,,,0
60,I want to leave on Tuesday .,want,Tuesday want on leave I,1
61,Do you have a time you 'd like to leave ?,,,0
62,I 'd like to leave after 9:30 .,like,like after leave I 9:30,1
63,Is that 9:30 AM or PM ?,Is,Is 9:30 PM that or AM,1
64,Looking for a train Tuesday leaving kings lynn after 9:30 to go to cambridge .,Looking,kings 9:30 leaving after for Tuesday Looking lynn train,1
